,FINESS_O,FINESS_D,O,D,O_lat,O_lon,D_lat,D_lon,ID,id_coord,Results_value_17h,minutes_17h
2538,750000499,640000162,"48.8302146671579,2.34096760180631","43.4831123974295,-1.48230729819466",48.8302146671579,2.34096760180631,43.4831123974295,-1.48230729819466,750000499-640000162,"2.34096760180631,48.8302146671579--1.48230729819466,43.4831123974295",7:15:00,435
2539,750100208,130780521,"48.8463434092809,2.31541258881328","43.3790936619422,5.36104667410839",48.8463434092809,2.31541258881328,43.3790936619422,5.36104667410839,750100208-130780521,"2.31541258881328,48.8463434092809-5.36104667410839,43.3790936619422",7:15:00,435
2540,870000064,830100574,"45.8108795364584,1.23857142808933","43.1333032961808,5.93227992696555",45.8108795364584,1.23857142808933,43.1333032961808,5.93227992696555,870000064-830100574,"1.23857142808933,45.8108795364584-5.93227992696555,43.1333032961808",7:15:00,435
2541,130804297,940100043,"43.2921827109591,5.40210784602733","48.8099378886903,2.35794972984933",43.2921827109591,5.40210784602733,48.8099378886903,2.35794972984933,130804297-940100043,"5.40210784602733,43.2921827109591-2.35794972984933,48.8099378886903",7:15:00,435
2542,640780946,750000499,"43.3237674948806,-0.350430204816629","48.8302146671579,2.34096760180631",43.3237674948806,-0.350430204816629,48.8302146671579,2.34096760180631,640780946-750000499,"-0.350430204816629,43.3237674948806-2.34096760180631,48.8302146671579",7:15:00,435
2543,680000684,130784051,"48.0773323152992,7.33619160182096","43.2483276512157,5.42998081317562",48.0773323152992,7.33619160182096,43.2483276512157,5.42998081317562,680000684-130784051,"7.33619160182096,48.0773323152992-5.42998081317562,43.2483276512157",7:15:00,435
2544,920120011,640780946,"48.8143986458456,2.25568637311088","43.3237674948806,-0.350430204816629",48.8143986458456,2.25568637311088,43.3237674948806,-0.350430204816629,920120011-640780946,"2.25568637311088,48.8143986458456--0.350430204816629,43.3237674948806",7:15:00,435
2546,440000271,260000013,"47.211884784187,-1.55284153807415","44.9121177176949,4.90791753137643",47.211884784187,-1.55284153807415,44.9121177176949,4.90791753137643,440000271-260000013,"-1.55284153807415,47.211884784187-4.90791753137643,44.9121177176949",7:15:00,435
2547,130780521,370000499,"43.3790936619422,5.36104667410839","47.3892168249298,0.680384029096055",43.3790936619422,5.36104667410839,47.3892168249298,0.680384029096055,130780521-370000499,"5.36104667410839,43.3790936619422-0.680384029096055,47.3892168249298",7:15:00,435
2548,340015502,510004302,"43.6024922940585,3.91428695033118","49.2315914438182,4.01891775517964",43.6024922940585,3.91428695033118,49.2315914438182,4.01891775517964,340015502-510004302,"3.91428695033118,43.6024922940585-4.01891775517964,49.2315914438182",7:15:00,435
2549,340782085,930300025,"43.6293421830654,3.86109562857508","48.9053098427993,2.39021276397707",43.6293421830654,3.86109562857508,48.9053098427993,2.39021276397707,340782085-930300025,"3.86109562857508,43.6293421830654-2.39021276397707,48.9053098427993",7:15:00,435
2550,490000049,340015502,"47.4804327922018,-0.554915702306227","43.6024922940585,3.91428695033118",47.4804327922018,-0.554915702306227,43.6024922940585,3.91428695033118,490000049-340015502,"-0.554915702306227,47.4804327922018-3.91428695033118,43.6024922940585",7:15:00,435
